Category: All categories,
,
Month,exercise: (United States)
2004-01,99
2004-02,91
2004-03,87
2004-04,84
2004-05,80
2004-06,82
2004-07,80
2004-08,77
2004-09,78
2004-10,75
2004-11,81
2004-12,77
2005-01,100
2005-02,89
2005-03,89
2005-04,81
2005-05,76
2005-06,79
2005-07,77
2005-08,71
2005-09,67
2005-10,71
2005-11,76
2005-12,69
2006-01,91
2006-02,82
2006-03,82
2006-04,78
2006-05,68
2006-06,71
2006-07,69
2006-08,68
2006-09,69
2006-10,68
2006-11,71
2006-12,65
2007-01,86
2007-02,78
2007-03,74
2007-04,74
2007-05,70
2007-06,70
2007-07,69
2007-08,67
2007-09,70
2007-10,70
2007-11,70
2007-12,66
2008-01,85
2008-02,75
2008-03,72
2008-04,75
2008-05,68
2008-06,69
2008-07,67
2008-08,65
2008-09,63
2008-10,63
2008-11,66
2008-12,65
2009-01,84
2009-02,79
2009-03,74
2009-04,75
2009-05,71
2009-06,71
2009-07,71
2009-08,67
2009-09,71
2009-10,68
2009-11,70
2009-12,66
2010-01,84
2010-02,80
2010-03,78
2010-04,76
2010-05,69
2010-06,68
2010-07,62
2010-08,58
2010-09,60
2010-10,61
2010-11,61
2010-12,57
2011-01,83
2011-02,81
2011-03,75
2011-04,76
2011-05,70
2011-06,71
2011-07,67
2011-08,66
2011-09,67
2011-10,68
2011-11,68
2011-12,63
2012-01,84
2012-02,79
2012-03,80
2012-04,78
2012-05,75
2012-06,73
2012-07,74
2012-08,75
2012-09,72
2012-10,66
2012-11,64
2012-12,62
2013-01,85
2013-02,82
2013-03,81
2013-04,84
2013-05,77
2013-06,73
2013-07,71
2013-08,67
2013-09,72
2013-10,73
2013-11,70
2013-12,64
2014-01,85
2014-02,82
2014-03,81
2014-04,80
2014-05,71
2014-06,72
2014-07,75
2014-08,66
2014-09,71
2014-10,68
2014-11,66
2014-12,64
2015-01,82
2015-02,77
2015-03,79
2015-04,79
2015-05,71
2015-06,74
2015-07,70
2015-08,68
2015-09,71
2015-10,69
2015-11,68
2015-12,66
2016-01,83
2016-02,83
2016-03,79
2016-04,79
2016-05,71
2016-06,71
2016-07,68
2016-08,71
2016-09,69
2016-10,67
2016-11,67
2016-12,64
2017-01,82
2017-02,82
2017-03,80
2017-04,77
2017-05,71
2017-06,70
2017-07,70
2017-08,64
2017-09,83
2017-10,71
2017-11,69
2017-12,63
2018-01,82
2018-02,80
2018-03,77
2018-04,77
2018-05,73
2018-06,69
2018-07,71
2018-08,68
2018-09,56
