purchase_factor,important_net,very_important,somewhat_important,not_important_net,not_very_important,not_at_all_important,not_at_all_sure
Fresh,89,62,28,8,3,5,3
Fiber,80,39,41,18,10,8,3
Whole grain,77,41,36,21,11,9,3
Calories,75,38,37,23,13,10,2
Portion size,73,37,37,24,14,10,3
Fat content,73,39,34,24,14,10,3
Sodium or salt,71,36,34,27,16,11,2
Saturated fat,71,40,31,26,15,12,3
Dairy,69,32,37,29,16,13,2
Sugar,68,34,34,30,19,11,2
Natural,68,30,37,30,17,12,3
Carbohydrates,67,28,39,30,19,11,3
Preservatives,61,29,32,36,22,14,3
Artificial sugar,59,32,28,38,17,20,3
High fructose corn syrup,59,34,25,37,20,17,4
Packaged food,54,18,36,42,26,16,3
Frozen,52,15,37,46,28,18,2
Genetically modified food,49,28,21,44,19,25,7
Organic,45,17,28,52,26,26,3
Glycemic index,38,15,23,50,23,27,12
Lactose,31,12,18,65,26,39,5
Gluten,28,11,17,68,25,42,5
Vegan,18,7,12,77,20,57,4
