"","diet_factor","important_net","very_important","somewhat_important","not_important_net","not_very_important","not_at_all_important"
"3","Protein","82","42","40","18","11","7"
"4","Calories","78","38","40","22","14","8"
"5","Fat","77","38","39","23","15","8"
"6","Whole grain","76","36","41","24","15","9"
"7","Saturated fat","75","39","36","25","15","10"
"8","Sugar","74","35","39","26","17","9"
"9","Carbohydrates","72","29","43","28","19","9"
"10","Cholesterol","70","34","36","30","20","10"
"11","Sodium","68","33","36","32","21","11"
"12","Hydrogenated oil","62","27","34","38","25","14"
