"","diet_factor","2011_total","2014_total","generation_millennials_18_36","generation_gen_xers_37_48","generation_baby_boomers_49_67","generation_matures_68+","gender_male","gender_female","children_in_household_yes","children_in_household_no","effort_to_eat_healthy_great_deal","effort_to_eat_healthy_some","effort_to_eat_healthy_not_much_no_effort"
"4","Protein","83","82","77","81","85","87","78","85","79","83","92","84","50"
"5","Calories","80","78","75","72","82","83","73","82","76","79","88","79","48"
"6","Fat","81","77","72","74","83","81","74","81","73","79","89","78","48"
"7","Whole grain","81","76","73","76","78","81","74","79","76","76","90","78","37"
"8","Saturated fat","79","75","69","73","80","79","72","78","72","77","86","77","41"
"9","Sugar","76","74","69","72","78","80","70","79","74","75","86","75","45"
"10","Carbohydrates","74","72","67","68","76","81","67","77","69","74","83","74","37"
"11","Cholesterol","75","70","63","66","76","76","68","72","66","71","79","71","44"
"12","Sodium","73","68","61","63","75","79","63","73","61","71","80","68","41"
"13","Hydrogenated oil","67","62","52","58","70","71","56","67","56","65","77","62","27"
