Category: All categories,
,
Month,high fiber: (United States)
2004-01,72
2004-02,63
2004-03,73
2004-04,56
2004-05,54
2004-06,57
2004-07,54
2004-08,57
2004-09,55
2004-10,53
2004-11,48
2004-12,49
2005-01,58
2005-02,56
2005-03,57
2005-04,59
2005-05,53
2005-06,53
2005-07,56
2005-08,53
2005-09,55
2005-10,57
2005-11,46
2005-12,42
2006-01,62
2006-02,68
2006-03,60
2006-04,55
2006-05,55
2006-06,67
2006-07,65
2006-08,55
2006-09,61
2006-10,59
2006-11,61
2006-12,50
2007-01,71
2007-02,70
2007-03,100
2007-04,69
2007-05,61
2007-06,69
2007-07,66
2007-08,60
2007-09,75
2007-10,70
2007-11,56
2007-12,48
2008-01,73
2008-02,66
2008-03,76
2008-04,70
2008-05,57
2008-06,56
2008-07,60
2008-08,59
2008-09,55
2008-10,52
2008-11,51
2008-12,44
2009-01,79
2009-02,76
2009-03,67
2009-04,66
2009-05,61
2009-06,66
2009-07,62
2009-08,61
2009-09,62
2009-10,62
2009-11,56
2009-12,50
2010-01,76
2010-02,77
2010-03,75
2010-04,70
2010-05,60
2010-06,59
2010-07,56
2010-08,56
2010-09,54
2010-10,57
2010-11,47
2010-12,45
2011-01,74
2011-02,82
2011-03,71
2011-04,65
2011-05,64
2011-06,64
2011-07,56
2011-08,59
2011-09,61
2011-10,60
2011-11,58
2011-12,49
2012-01,77
2012-02,68
2012-03,68
2012-04,68
2012-05,60
2012-06,62
2012-07,64
2012-08,61
2012-09,60
2012-10,58
2012-11,57
2012-12,49
2013-01,72
2013-02,69
2013-03,70
2013-04,66
2013-05,59
2013-06,65
2013-07,62
2013-08,60
2013-09,58
2013-10,59
2013-11,54
2013-12,50
2014-01,68
2014-02,71
2014-03,65
2014-04,66
2014-05,56
2014-06,57
2014-07,60
2014-08,57
2014-09,59
2014-10,59
2014-11,52
2014-12,49
2015-01,68
2015-02,87
2015-03,71
2015-04,66
2015-05,63
2015-06,64
2015-07,64
2015-08,64
2015-09,64
2015-10,62
2015-11,58
2015-12,52
2016-01,68
2016-02,68
2016-03,66
2016-04,63
2016-05,60
2016-06,59
2016-07,58
2016-08,58
2016-09,60
2016-10,57
2016-11,51
2016-12,50
2017-01,68
2017-02,68
2017-03,73
2017-04,67
2017-05,64
2017-06,65
2017-07,67
2017-08,67
2017-09,64
2017-10,68
2017-11,66
2017-12,59
2018-01,83
2018-02,81
2018-03,77
2018-04,83
2018-05,72
2018-06,75
2018-07,74
2018-08,74
2018-09,69
