Category: All categories,,,
,,,
Month,kale: (United States),cauliflower: (United States),quinoa: (United States)
2004-01,7,13,4
2004-02,6,13,4
2004-03,4,12,5
2004-04,7,9,4
2004-05,6,10,4
2004-06,7,11,4
2004-07,7,9,4
2004-08,6,12,5
2004-09,7,9,4
2004-10,7,11,4
2004-11,7,11,3
2004-12,6,10,4
2005-01,8,13,4
2005-02,6,12,4
2005-03,7,9,5
2005-04,6,9,5
2005-05,6,8,6
2005-06,8,8,5
2005-07,7,9,6
2005-08,7,8,5
2005-09,6,9,6
2005-10,8,11,5
2005-11,8,15,4
2005-12,6,10,4
2006-01,9,12,6
2006-02,7,11,5
2006-03,7,9,6
2006-04,7,10,6
2006-05,7,8,6
2006-06,7,8,6
2006-07,7,7,6
2006-08,7,7,6
2006-09,8,9,6
2006-10,8,12,6
2006-11,9,13,5
2006-12,7,11,4
2007-01,9,12,7
2007-02,8,10,7
2007-03,8,11,8
2007-04,8,9,9
2007-05,7,10,10
2007-06,9,9,9
2007-07,9,9,8
2007-08,8,8,8
2007-09,9,11,9
2007-10,10,13,10
2007-11,9,15,8
2007-12,8,13,6
2008-01,10,12,11
2008-02,10,12,15
2008-03,10,13,14
2008-04,9,10,14
2008-05,9,9,12
2008-06,10,19,13
2008-07,12,10,13
2008-08,12,9,12
2008-09,10,11,14
2008-10,11,14,10
2008-11,12,16,13
2008-12,10,15,9
2009-01,12,16,17
2009-02,12,16,15
2009-03,12,16,15
2009-04,12,14,16
2009-05,12,12,16
2009-06,14,12,18
2009-07,14,13,19
2009-08,12,13,19
2009-09,15,15,17
2009-10,15,19,15
2009-11,16,21,16
2009-12,13,17,13
2010-01,18,21,26
2010-02,16,20,25
2010-03,18,18,27
2010-04,16,16,26
2010-05,17,15,26
2010-06,19,14,26
2010-07,17,14,26
2010-08,15,13,25
2010-09,18,15,24
2010-10,20,20,23
2010-11,20,24,20
2010-12,18,17,19
2011-01,30,27,39
2011-02,27,25,35
2011-03,28,22,36
2011-04,27,22,39
2011-05,27,20,36
2011-06,29,18,35
2011-07,32,19,35
2011-08,30,19,35
2011-09,31,21,34
2011-10,36,27,33
2011-11,38,29,33
2011-12,35,25,28
2012-01,52,36,50
2012-02,46,35,46
2012-03,51,30,49
2012-04,48,31,52
2012-05,46,27,51
2012-06,52,25,55
2012-07,51,26,57
2012-08,48,27,55
2012-09,51,29,54
2012-10,50,33,46
2012-11,49,37,41
2012-12,45,31,36
2013-01,76,44,68
2013-02,71,43,63
2013-03,74,40,69
2013-04,72,37,66
2013-05,67,34,66
2013-06,76,34,68
2013-07,77,32,70
2013-08,72,31,69
2013-09,70,37,72
2013-10,71,40,62
2013-11,72,45,54
2013-12,57,39,45
2014-01,97,60,84
2014-02,81,57,70
2014-03,84,54,72
2014-04,75,50,69
2014-05,69,39,64
2014-06,72,36,64
2014-07,73,38,66
2014-08,63,39,59
2014-09,61,43,57
2014-10,61,46,50
2014-11,60,61,47
2014-12,50,41,39
2015-01,83,73,77
2015-02,67,69,61
2015-03,65,59,60
2015-04,60,52,58
2015-05,59,42,53
2015-06,65,44,58
2015-07,65,47,59
2015-08,59,47,56
2015-09,51,45,52
2015-10,57,50,46
2015-11,57,59,44
2015-12,48,38,38
2016-01,74,74,66
2016-02,59,77,56
2016-03,57,66,51
2016-04,55,63,55
2016-05,55,58,54
2016-06,53,48,52
2016-07,50,51,51
2016-08,46,52,48
2016-09,45,53,46
2016-10,46,56,42
2016-11,44,62,37
2016-12,41,50,33
2017-01,62,94,59
2017-02,53,85,53
2017-03,53,72,54
2017-04,50,60,51
2017-05,48,59,50
2017-06,51,61,51
2017-07,52,69,56
2017-08,47,66,52
2017-09,43,65,47
2017-10,48,68,45
2017-11,49,70,40
2017-12,43,64,36
2018-01,60,100,63
2018-02,50,92,55
2018-03,48,78,53
2018-04,48,78,54
2018-05,45,75,49
2018-06,47,75,50
2018-07,47,79,52
2018-08,44,79,49
2018-09,41,75,44
