Category: All categories,
,
Month,low calorie: (United States)
2004-01,45
2004-02,38
2004-03,43
2004-04,38
2004-05,40
2004-06,50
2004-07,43
2004-08,38
2004-09,37
2004-10,32
2004-11,35
2004-12,30
2005-01,65
2005-02,52
2005-03,51
2005-04,47
2005-05,49
2005-06,48
2005-07,49
2005-08,44
2005-09,35
2005-10,37
2005-11,34
2005-12,31
2006-01,74
2006-02,51
2006-03,49
2006-04,50
2006-05,48
2006-06,48
2006-07,48
2006-08,47
2006-09,43
2006-10,40
2006-11,41
2006-12,33
2007-01,68
2007-02,55
2007-03,52
2007-04,51
2007-05,44
2007-06,53
2007-07,51
2007-08,45
2007-09,46
2007-10,43
2007-11,38
2007-12,36
2008-01,74
2008-02,55
2008-03,53
2008-04,53
2008-05,52
2008-06,54
2008-07,57
2008-08,46
2008-09,44
2008-10,41
2008-11,38
2008-12,35
2009-01,75
2009-02,57
2009-03,62
2009-04,56
2009-05,62
2009-06,59
2009-07,58
2009-08,54
2009-09,49
2009-10,51
2009-11,45
2009-12,42
2010-01,94
2010-02,68
2010-03,63
2010-04,61
2010-05,61
2010-06,59
2010-07,56
2010-08,53
2010-09,49
2010-10,47
2010-11,46
2010-12,39
2011-01,97
2011-02,76
2011-03,71
2011-04,68
2011-05,67
2011-06,69
2011-07,66
2011-08,61
2011-09,58
2011-10,51
2011-11,50
2011-12,47
2012-01,100
2012-02,86
2012-03,78
2012-04,75
2012-05,76
2012-06,80
2012-07,80
2012-08,72
2012-09,66
2012-10,57
2012-11,48
2012-12,43
2013-01,98
2013-02,80
2013-03,79
2013-04,75
2013-05,68
2013-06,70
2013-07,71
2013-08,63
2013-09,61
2013-10,54
2013-11,47
2013-12,40
2014-01,89
2014-02,71
2014-03,70
2014-04,64
2014-05,62
2014-06,60
2014-07,58
2014-08,55
2014-09,51
2014-10,46
2014-11,39
2014-12,36
2015-01,80
2015-02,63
2015-03,63
2015-04,58
2015-05,59
2015-06,60
2015-07,60
2015-08,54
2015-09,49
2015-10,48
2015-11,39
2015-12,37
2016-01,76
2016-02,64
2016-03,62
2016-04,64
2016-05,59
2016-06,58
2016-07,56
2016-08,52
2016-09,50
2016-10,44
2016-11,37
2016-12,35
2017-01,77
2017-02,65
2017-03,67
2017-04,64
2017-05,62
2017-06,62
2017-07,66
2017-08,59
2017-09,50
2017-10,49
2017-11,44
2017-12,41
2018-01,80
2018-02,70
2018-03,70
2018-04,72
2018-05,65
2018-06,66
2018-07,70
2018-08,64
2018-09,58
