Category: All categories,
,
Month,New Years resolution: (United States)
2004-01,32
2004-02,0
2004-03,0
2004-04,2
2004-05,2
2004-06,0
2004-07,2
2004-08,2
2004-09,1
2004-10,2
2004-11,8
2004-12,44
2005-01,38
2005-02,0
2005-03,1
2005-04,1
2005-05,1
2005-06,2
2005-07,0
2005-08,2
2005-09,1
2005-10,0
2005-11,5
2005-12,47
2006-01,56
2006-02,3
2006-03,2
2006-04,1
2006-05,1
2006-06,2
2006-07,1
2006-08,2
2006-09,1
2006-10,2
2006-11,7
2006-12,46
2007-01,53
2007-02,2
2007-03,0
2007-04,1
2007-05,2
2007-06,1
2007-07,1
2007-08,2
2007-09,<1
2007-10,1
2007-11,7
2007-12,46
2008-01,54
2008-02,3
2008-03,1
2008-04,<1
2008-05,1
2008-06,<1
2008-07,2
2008-08,1
2008-09,1
2008-10,2
2008-11,4
2008-12,52
2009-01,54
2009-02,3
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,2
2009-10,1
2009-11,4
2009-12,70
2010-01,66
2010-02,2
2010-03,1
2010-04,1
2010-05,1
2010-06,<1
2010-07,1
2010-08,1
2010-09,2
2010-10,2
2010-11,4
2010-12,59
2011-01,64
2011-02,3
2011-03,2
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,2
2011-11,7
2011-12,68
2012-01,64
2012-02,3
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,2
2012-10,2
2012-11,6
2012-12,54
2013-01,65
2013-02,2
2013-03,2
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,2
2013-11,5
2013-12,57
2014-01,58
2014-02,2
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,2
2014-11,4
2014-12,43
2015-01,52
2015-02,2
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,<1
2015-08,1
2015-09,1
2015-10,2
2015-11,4
2015-12,67
2016-01,82
2016-02,5
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,2
2016-08,2
2016-09,2
2016-10,3
2016-11,7
2016-12,80
2017-01,94
2017-02,5
2017-03,3
2017-04,2
2017-05,2
2017-06,2
2017-07,2
2017-08,2
2017-09,2
2017-10,2
2017-11,6
2017-12,72
2018-01,100
2018-02,4
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,1
2018-09,3
