Category: All categories,
,
Month,weight loss: (United States)
2004-01,63
2004-02,59
2004-03,61
2004-04,59
2004-05,60
2004-06,59
2004-07,60
2004-08,56
2004-09,48
2004-10,50
2004-11,53
2004-12,49
2005-01,70
2005-02,62
2005-03,64
2005-04,62
2005-05,61
2005-06,66
2005-07,65
2005-08,58
2005-09,52
2005-10,51
2005-11,50
2005-12,50
2006-01,74
2006-02,63
2006-03,63
2006-04,62
2006-05,62
2006-06,65
2006-07,65
2006-08,59
2006-09,54
2006-10,54
2006-11,53
2006-12,49
2007-01,70
2007-02,66
2007-03,65
2007-04,67
2007-05,68
2007-06,73
2007-07,74
2007-08,65
2007-09,62
2007-10,56
2007-11,52
2007-12,48
2008-01,74
2008-02,60
2008-03,62
2008-04,62
2008-05,58
2008-06,61
2008-07,59
2008-08,54
2008-09,54
2008-10,54
2008-11,53
2008-12,55
2009-01,77
2009-02,64
2009-03,65
2009-04,66
2009-05,67
2009-06,69
2009-07,73
2009-08,71
2009-09,65
2009-10,61
2009-11,60
2009-12,58
2010-01,86
2010-02,75
2010-03,79
2010-04,77
2010-05,86
2010-06,84
2010-07,71
2010-08,65
2010-09,64
2010-10,58
2010-11,54
2010-12,54
2011-01,94
2011-02,80
2011-03,79
2011-04,84
2011-05,86
2011-06,91
2011-07,89
2011-08,80
2011-09,79
2011-10,68
2011-11,65
2011-12,75
2012-01,100
2012-02,92
2012-03,89
2012-04,94
2012-05,90
2012-06,91
2012-07,90
2012-08,81
2012-09,79
2012-10,71
2012-11,68
2012-12,63
2013-01,95
2013-02,87
2013-03,88
2013-04,90
2013-05,91
2013-06,88
2013-07,91
2013-08,83
2013-09,79
2013-10,76
2013-11,72
2013-12,68
2014-01,99
2014-02,93
2014-03,92
2014-04,91
2014-05,92
2014-06,90
2014-07,94
2014-08,81
2014-09,73
2014-10,70
2014-11,66
2014-12,66
2015-01,92
2015-02,82
2015-03,86
2015-04,83
2015-05,79
2015-06,84
2015-07,84
2015-08,77
2015-09,71
2015-10,69
2015-11,64
2015-12,65
2016-01,93
2016-02,87
2016-03,87
2016-04,87
2016-05,84
2016-06,82
2016-07,83
2016-08,83
2016-09,74
2016-10,69
2016-11,65
2016-12,67
2017-01,100
2017-02,95
2017-03,97
2017-04,94
2017-05,90
2017-06,86
2017-07,85
2017-08,75
2017-09,70
2017-10,70
2017-11,66
2017-12,63
2018-01,92
2018-02,83
2018-03,86
2018-04,85
2018-05,83
2018-06,83
2018-07,85
2018-08,78
2018-09,59
