Category: All categories,
,
Month,whole grain: (United States)
2004-01,38
2004-02,38
2004-03,34
2004-04,17
2004-05,21
2004-06,35
2004-07,32
2004-08,42
2004-09,36
2004-10,33
2004-11,22
2004-12,26
2005-01,50
2005-02,42
2005-03,47
2005-04,39
2005-05,64
2005-06,45
2005-07,40
2005-08,44
2005-09,55
2005-10,44
2005-11,35
2005-12,40
2006-01,54
2006-02,55
2006-03,52
2006-04,43
2006-05,46
2006-06,49
2006-07,40
2006-08,47
2006-09,49
2006-10,46
2006-11,44
2006-12,38
2007-01,58
2007-02,48
2007-03,49
2007-04,46
2007-05,45
2007-06,40
2007-07,42
2007-08,50
2007-09,47
2007-10,51
2007-11,48
2007-12,43
2008-01,56
2008-02,70
2008-03,64
2008-04,65
2008-05,53
2008-06,53
2008-07,50
2008-08,57
2008-09,50
2008-10,52
2008-11,44
2008-12,43
2009-01,64
2009-02,70
2009-03,64
2009-04,56
2009-05,55
2009-06,55
2009-07,55
2009-08,55
2009-09,57
2009-10,61
2009-11,57
2009-12,44
2010-01,76
2010-02,80
2010-03,71
2010-04,63
2010-05,61
2010-06,61
2010-07,58
2010-08,61
2010-09,60
2010-10,63
2010-11,55
2010-12,44
2011-01,89
2011-02,87
2011-03,81
2011-04,71
2011-05,62
2011-06,67
2011-07,61
2011-08,62
2011-09,70
2011-10,67
2011-11,64
2011-12,52
2012-01,90
2012-02,84
2012-03,83
2012-04,75
2012-05,68
2012-06,66
2012-07,69
2012-08,67
2012-09,74
2012-10,66
2012-11,59
2012-12,53
2013-01,89
2013-02,85
2013-03,89
2013-04,79
2013-05,68
2013-06,67
2013-07,67
2013-08,68
2013-09,68
2013-10,67
2013-11,63
2013-12,52
2014-01,83
2014-02,79
2014-03,79
2014-04,72
2014-05,67
2014-06,60
2014-07,63
2014-08,63
2014-09,70
2014-10,71
2014-11,63
2014-12,52
2015-01,88
2015-02,78
2015-03,81
2015-04,75
2015-05,64
2015-06,62
2015-07,67
2015-08,66
2015-09,72
2015-10,68
2015-11,62
2015-12,55
2016-01,90
2016-02,85
2016-03,80
2016-04,78
2016-05,67
2016-06,70
2016-07,63
2016-08,61
2016-09,71
2016-10,68
2016-11,62
2016-12,56
2017-01,90
2017-02,91
2017-03,87
2017-04,85
2017-05,81
2017-06,76
2017-07,77
2017-08,75
2017-09,75
2017-10,83
2017-11,79
2017-12,68
2018-01,100
2018-02,97
2018-03,89
2018-04,85
2018-05,75
2018-06,75
2018-07,77
2018-08,81
2018-09,65
